post_id	date	message	num_likes	num_angry	num_shares
904277726319518_2781359461944659	2020-01-14T12:03:25+0000	"wagner moura: \"a ancine censurou o filme. e uma censura diferente, que usa instrumentos burocraticos para dificultar producoes das quais o governo discorda. nao tenho a menor duvida de que \"marighella\" nao estreou ainda por uma questao politica.\" \"no ano em que investiram na destruicao do nosso cinema, 'bacurau' e 'a vida invisivel' ganharam premios no festival de cannes e, agora, 'democracia em vertigem' foi indicado ao oscar. duvido que qualquer um desses filmes conseguisse financiamento da ancine hoje\"."	10136	335	3543
904277726319518_2780344738712798	2020-01-13T23:48:59+0000	"'ha quanto tempo a gente nao faz um bom filme no pais?', questionou o \"genio\" bolsonaro. ignorante!"	5275	971	1317
904277726319518_2774713159275956	2020-01-11T12:15:03+0000	"gestao doria/covas: custo de acabar com mural de grafite na av. 23 de maio e de r$ 1,3 milhao ao ano!"	1572	541	443
904277726319518_2774602482620357	2020-01-11T11:08:32+0000	"coluna da semana sobre as causas da queda dos homicidios discute o sistema penitenciario federal e a forca nacional criados pelo presidente lula."	976	5	137
904277726319518_2771145596299379	2020-01-09T21:42:56+0000	""	6103	15	1340
904277726319518_2767920453288560	2020-01-08T11:38:53+0000	"alem dos diretamente envolvidos no conflito eua-ira, algum outro pais sofreu danos alem do brasil? a imagem do brasil no exterior, em toda sua historia, nunca esteve tao comprometida. e o governo tenta se equilibrar na propria incompetencia. lastimavel!"	11305	90	958
904277726319518_2762416943838911	2020-01-05T20:27:00+0000	"entrevista a tv da assembleia de mg que concedi no final do ano passado."	2048	5	371
904277726319518_2762413740505898	2020-01-05T20:25:06+0000	"o pt na oposicao ao governo bolsonaro entrevista a tv da assembleia de mg que concedi no final do ano passado."	3400	7	597
904277726319518_2759272564153349	2020-01-04T11:04:09+0000	"coluna da semana sobre industria e burguesia nacional e as afinidades ideologicas dos empresarios com o fascismo, nos anos 1930, e com bolsonaro, hoje."	1396	16	256
904277726319518_2748169108597028	2019-12-30T13:14:22+0000	"para olavo de carvalho, \"quem manda no pais e fernando haddad que em 1998 criou um plano para o pt cujo resumo e a elevacao politica do lumpemproletariado. sao bandidos, prostitutas, drogados, loucos. o lumpemproletariado domina o panorama nacional\" "	3501	110	1010
904277726319518_2745934372153835	2019-12-29T12:01:59+0000	"uma grande mulher. tristeza."	4304	8	604
904277726319518_2743657325714873	2019-12-28T10:22:13+0000	"coluna da semana sobre os ataques de bolsonaro a universidade publica e a recente medida provisoria sobre escolha de reitor."	1793	35	324
904277726319518_2740611092686163	2019-12-26T21:43:23+0000	""	1862	887	715
904277726319518_2735834633163809	2019-12-24T18:00:28+0000	"feliz natal!"	1793	0	87
904277726319518_2732180580195881	2019-12-23T01:02:05+0000	"lema do time: coracao, mente e espirito: 2 x 1."	8529	1	274
904277726319518_2731984840215455	2019-12-22T22:25:49+0000	"hoje na partida de futebol dos amigos do lula e do chico buarque contra os amigos do mst.  foto: ricardo stuckert"	17430	13	779
904277726319518_2728687927211813	2019-12-21T11:28:53+0000	"coluna da semana e sobre o aumento da desigualdade sob bolsonaro, que penaliza os 50% mais pobres.  as razoes e as novas ameacas do governo."	1740	64	353
904277726319518_2725475510866388	2019-12-19T22:42:18+0000	"moro responsabilizou o supremo pelo aumento da percepcao social de corrupcao. deveria pedir para a corte negar o habeas corpus pedido por flavio bolsonaro."	6411	12	696
904277726319518_2724480117632594	2019-12-19T12:11:13+0000	"no ato em defesa da cultura com lula. valeu, rio de janeiro!   fotos: ricardo stuckert"	8963	6	639
904277726319518_482776805692148	2019-12-16T23:00:59+0000	"fernando haddad entrevista o economista paulo nogueira batista jr."	1977	5	464
904277726319518_2716175305129742	2019-12-15T14:00:43+0000	"na proxima segunda, entrevisto o economista paulo nogueira batista jr. e as 20h, na alltv e nas nossas redes sociais."	3631	7	172
904277726319518_2716032381810701	2019-12-15T12:47:13+0000	"compreensivel: depois de 28 anos de ferias, 'aposentado' aos 33 anos, bolsonaro relata cansaco extremo e quer diminuir ritmo da agenda."	9946	1394	7020
904277726319518_2713590142054925	2019-12-14T11:29:36+0000	"um ano de bolsonaro."	1711	136	151
904277726319518_2712145788866027	2019-12-13T18:48:44+0000	"boa noticia: henrique schaumann e reboucas terao ciclovia; via exclusiva da radial ira ate o centro. nosso plano de mobilidade urbana foi reconhecido internacionalmente: pedestres, ciclistas e usuarios de transporte publico devem ser priorizados. viva sp."	4490	2	361
904277726319518_2708048415942431	2019-12-11T23:57:24+0000	"sera que o bolsonaro, 64,  aceitaria um debate com a greta, 16?"	13803	11	1734
904277726319518_1042647922746492	2019-12-09T23:00:34+0000	"fernando haddad entrevista o diplomata e ex-ministro das relacoes exteriores celso amorim."	1644	0	408
904277726319518_2698848960195710	2019-12-07T21:38:14+0000	""	9306	35	1300
904277726319518_2697696636977609	2019-12-07T10:33:45+0000	"na coluna da semana, comento os resultados do pisa. por que o brasil, que evoluiu tanto ate 2009, estagnou de 2012 para ca? exploro hipoteses. faltaram recursos para a educacao ou as regioes ricas do pais podem ter decepcionado?"	795	2	124
904277726319518_2688844101196196	2019-12-03T12:10:11+0000	"depois de atacar direitos de negros, indigenas, lgbts, mulheres e pobres em geral, governo desobriga empresa de cumprir cota para trabalhador com deficiencia."	4010	2866	7438
904277726319518_2687191001361506	2019-12-02T17:54:14+0000	"o governo tera a oportunidade de medir os resultados da nova diplomacia da vassalagem."	2343	6	75
904277726319518_1694779503985268	2019-12-02T23:00:13+0000	"fernando haddad entrevista o economista antonio delfim netto."	2039	13	450
